"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         146,      -4.396197918,      -1.949370463,      -3.455943525,     -0.1928539615,      -2.127956137,       3.431995843
          0,           0,         147,      -4.398685001,      -1.951727089,      -3.467218173,     -0.1965573265,      -2.121538754,       3.427028093
          0,           0,         148,      -4.401153825,      -1.954058827,      -3.479220332,     -0.2002541555,      -2.115216131,       3.422072606
          0,           0,         149,       -4.40360466,      -1.956365726,      -3.491775784,     -0.2039560683,      -2.108989638,       3.417135046
          0,           0,         150,      -4.406037637,      -1.958647851,      -3.504718467,     -0.2076688187,      -2.102860431,       3.412221311
          0,           0,         151,       -4.40845276,      -1.960905248,      -3.517914276,      -0.211391344,        -2.0968294,       3.407336485
          0,           0,         152,      -4.410849932,      -1.963137932,      -3.531269838,     -0.2151153682,      -2.090897075,       3.402483859
          0,           0,         153,      -4.413228991,      -1.965345877,      -3.544724941,     -0.2188251878,      -2.085063851,       3.397664814
          0,           0,         154,      -4.415589768,      -1.967529014,       -3.55823095,      -0.222499078,      -2.079330735,       3.392878351
          0,           0,         155,      -4.417932129,       -1.96968725,      -3.571721657,     -0.2261110917,      -2.073698518,       3.388121523
          0,           0,         156,      -4.420256014,      -1.971820471,      -3.585083951,     -0.2296333323,      -2.068168513,       3.383389983
          0,           0,         157,       -4.42256146,      -1.973928569,        -3.5981376,     -0.2330386436,      -2.062742095,       3.378678562
          0,           0,         158,      -4.424848598,      -1.976011452,      -3.610632049,     -0.2363032257,      -2.057421116,       3.373982125
          0,           0,         159,      -4.427117642,      -1.978069059,      -3.622266017,     -0.2394093435,      -2.052206599,       3.369296614
          0,           0,         160,      -4.429368856,      -1.980101364,      -3.632730636,     -0.2423475676,      -2.047100348,       3.364619521
          0,           0,         161,      -4.431602521,      -1.982108366,      -3.641769501,     -0.2451184395,      -2.042104161,       3.359950283
          0,           0,         162,      -4.433818893,      -1.984090085,      -3.649239977,     -0.2477326887,      -2.037219565,       3.355290222
          0,           0,         163,      -4.436018158,      -1.986046547,      -3.655156669,     -0.2502102152,      -2.032447682,       3.350641837
          0,           0,         164,      -4.438200412,      -1.987977787,      -3.659701678,     -0.2525774453,       -2.02778719,       3.346009888
          0,           0,         165,      -4.440365638,      -1.989883813,       -3.66319713,     -0.2548650898,      -2.023239171,       3.341398675
          0,           0,         166,      -4.442513715,       -1.99176461,      -3.666051744,     -0.2571034878,      -2.018804322,       3.336812115
